Recipe Urls,recipeName,ingredients
https://www.foodnetwork.com/recipes/shrimp-a-la-planxa-recipe-1970051,Shrimp a la Planxa,"['8 jumbo shrimps, unpeeled', 'Olive oil for the griddle', 'Sea salt', 'Lemon wedges']"
https://www.foodnetwork.com/recipes/bobby-flay/shrimp-al-ajillo-recipe-1910291,Shrimp al Ajillo,"['4 ounces extra virgin olive oil', '8 cloves minced garlic', '1 bay leaf', '1 whole chile pepper', '12 ounces peeled and deveined shrimp', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper', '6 ounces dry white wine', '1 lemon, cut in half', '1 tablespoon chopped parsley']"
https://www.foodnetwork.com/recipes/rachael-ray/shrimp-and-shrooms-with-sherry-recipe-1923859,Shrimp and 'Shrooms with Sherry,"['1/2 cup fresh flat-leaf parsley', '1/2 medium red onion, coarsely chopped', '2 fresh bay leaves', '6 cloves garlic, peeled', '1 tablespoon black peppercorns, a palmful', '1 tablespoon orange zest', 'About 2 tablespoons fresh thyme leaves', '1 red chile pepper, chopped', '3 tablespoons extra-virgin olive oil', '1 1/4 pounds very small white mushrooms', '1 pound large shrimp, peeled and deveined', 'About 1/3 to 1/2 cup dry sherry', '2 tablespoons butter']"
https://www.foodnetwork.com/recipes/shrimp-and-andouille-gumbo-recipe0-2011958,Shrimp and Andouille Gumbo,"['1 red bell pepper, seeded and diced', '1 green bell pepper, seeded and diced', '2 large onions, diced', '2 celery stalks, diced', '3/4 cup vegetable oil or lard', '3/4 cup flour', '2 bay leaves', '1 tablespoon kosher salt', '1/2 teaspoon ground white pepper', '1/2 teaspoon cayenne', '1/2 teaspoon ground black pepper', '1/2 teaspoon dried thyme', '1/2 teaspoon dried oregano', '6 cloves garlic, minced', '5 1/2 cups reserved shrimp stock, recipe follows', '1 pound andouille sausage, cut in 1/2-inch pieces (half-moons)', 'Peeled, deveined shrimp, reserved from making stock, below', 'Plain cooked white rice, for serving', '2 pounds medium shrimp, with shells', '2 tablespoons vegetable oil', '1 small onion, roughly chopped', '1 carrot, roughly chopped', '1 stalk celery, roughly chopped', '1/2 cup white wine', 'Water', '3 black peppercorns', '1 bay leaf', '1/2 teaspoon dried thyme leaves (or a couple fresh sprigs)']"
https://www.foodnetwork.com/recipes/shrimp-and-andouille-jambalaya-recipe-2117996,Shrimp and Andouille Jambalaya,"['1 tablespoon canola oil', '2/3 pound andouille sausage, sliced 1/4 inch thick', '1 large red bell pepper, cut into a large dice', '1 large onion, cut into a large dice', '3 ribs celery, cut into a large dice', '1 large head garlic, peeled and minced', 'Cayenne pepper, as needed', '1/4 teaspoon kosher salt', 'Freshly ground black pepper', '2 large tomatoes, cored, peeled, seeded, and chopped', '1 pound medium shrimp, peeled', '1 pint shucked oysters', '2 bay leaves', '3 cups long-grain rice, soaked in 3 changes of water', '3 cups shrimp stock or water', '2 bunches green onions, thinly sliced', '1/4 teaspoon hot sauce, or to taste']"
https://www.foodnetwork.com/recipes/shrimp-and-andouille-stuffed-quail-with-spicy-white-wine-sauce-recipe-1943761,Shrimp and Andouille Stuffed Quail with Spicy White Wine Sauce,"['2 tablespoons butter, plus more for coating quail', '1/2 cup chopped celery', '1 cup chopped onion', '2 teaspoons chopped thyme', '1 teaspoon minced garlic', '1/2-pound shrimp, peeled and deveined', '1/4-pound andouille sausage, quartered and sliced', '2 cups chicken or shrimp stock or broth', '2 cups bread, crust removed, cubed, lightly toasted', '1/2 cup chopped green onion', '3 tablespoons chopped parsley leaves', 'Salt and pepper', 'Hot pepper sauce (recommended: Tabasco)', '8 semi-boneless quail (about 4 ounces each), split down the back', 'Spicy White Wine Sauce, recipe follows', '2 tablespoons chopped shallots', '1/2 cup white wine', '1 cup chicken or shrimp stock or broth', '1/4 cup hot sauce (recommended: Crystal)', '3 tablespoons butter, cut into tablespoons', 'Squeeze fresh lemon juice', 'Pinch salt']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-andouille-with-sweet-potatoes-13895044,Shrimp and Andouille with Sweet Potatoes,"['1 1/2 pounds small to medium sweet potatoes, cut into 3/4- to 1-inch-thick wedges', '3 tablespoons extra-virgin olive oil', 'Kosher salt and freshly ground pepper', '6 ounces andouille sausage (about 2 links), chopped', '1 onion, chopped', '2 bell peppers (red, yellow or green), sliced', '2 stalks celery, roughly chopped, plus torn leaves for topping', '1 tablespoon tomato paste', '3 cloves garlic, finely chopped', '1 1/2 teaspoons chopped fresh thyme', '1 cup low-sodium chicken broth', '1 1/4 pounds peeled and deveined large shrimp']"
https://www.foodnetwork.com/recipes/geoffrey-zakarian/shrimp-and-artichoke-tagliatelle-with-black-pepper-and-pecorino-2383343,Shrimp and Artichoke Tagliatelle with Black Pepper and Pecorino,"['10 jumbo shrimp (U12), peeled and cleaned, cut in half lengthwise', '6 tablespoons extra-virgin olive oil', '3 tablespoons lemon juice\xa0', '2 tablespoons butter, melted\xa0', 'Salt and freshly ground black pepper\xa0', '3 artichokes, cleaned and chokes removed, cut into wedges\xa0', '3 cloves garlic, sliced\xa0', '1/4 cup white wine\xa0', '1/4 cup chicken stock\xa0', 'Salt', '1 pound fresh tagliatelle\xa0', '2/3 cup grated Pecorino Romano\xa0cheese', 'Freshly ground black pepper', 'Zest of 1 lemon\xa0', '2 tablespoons butter\xa0', '2 tablespoons lemon juice\xa0', '2 tablespoons roughly chopped fresh parsley\xa0']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-avocado-burritos-4554436,Shrimp and Avocado Burritos,"['1 10-ounce package frozen cooked rice (about 2 cups)', '1/4 cup sliced pickled jalapenos, plus 1 tablespoon brine', '1 16-ounce can mild chili beans, undrained', '3/4 cup frozen fire-roasted corn', '1/2 cup roasted garlic salsa', '12 ounces large shrimp, peeled, deveined and cut into chunks', '1/2 cup chopped fresh cilantro', '1 ripe avocado', 'Juice of 1 lime, plus wedges for serving', 'Kosher salt and freshly ground pepper', '4 burrito-size spinach tortillas', 'Sour cream, for serving']"
https://www.foodnetwork.com/recipes/food-network-kitchen/shrimp-and-avocado-salad-3362888,Shrimp and Avocado Salad,"['1/4 cup mayonnaise', '2 stalks celery, thinly sliced, plus 3 tablespoons', 'chopped celery leaves', '3 tablespoons finely chopped fresh cilantro', 'Kosher salt and freshly ground pepper', '1 1/2 limes', '1 1/2 pounds large shrimp, peeled and deveined', '1 tablespoon vegetable oil', '2 hass avocados, diced', '1 5-ounce package baby kale salad mix (about 8 cups)', '1 small bunch radishes, thinly sliced']"
